,number,name,bid,vat_number,city_or_mun,language,mun_center,province,subregion,population,area_total_km2,area_land_km2,population_density_km-2
154,484,Merikarvia,0135202-4,FI01352024,kunta,suomi,Merikarvian kirkonkylä,Satakunta,Porin seutukunta,3033,45074.0,44616.0,68.0
155,489,Miehikkälä,0162675-0,FI01626750,kunta,suomi,Miehikkälän kirkonkylä,Kymenlaakso,Kotka–Haminan seutukunta,1819,44037.0,42251.0,43.0
156,491,Mikkeli,0165116-3,FI01651163,kaupunki,suomi,Mikkelin keskustaajama,Etelä-Savo,Mikkelin seutukunta,52077,3229.57,2548.18,204.0
157,494,Muhos,0186646-3,FI01866463,kunta,suomi,Muhoksen kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,8906,79810.0,78458.0,114.0
158,495,Multia,0208471-1,FI02084711,kunta,suomi,Multian kirkonkylä,Keski-Suomi,Keuruun seutukunta,1483,76563.0,73324.0,2.0
159,498,Muonio,0191824-3,FI01918243,kunta,suomi,Muonion kirkonkylä,Lappi,Tunturi-Lapin seutukunta,2309,2037.78,1904.05,12.0
160,499,Mustasaari,0181101-6,FI01811016,kunta,"ruotsi, suomi",Sepänkylä,Pohjanmaa,Vaasan seutukunta,19615,86656.0,84917.0,231.0
161,500,Muurame,0176699-9,FI01766999,kunta,suomi,Muuramen kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,10427,19406.0,14406.0,724.0
162,503,Mynämäki,2048364-4,FI20483644,kunta,suomi,Mynämäen kirkonkylä,Varsinais-Suomi,Turun seutukunta,7603,52232.0,51982.0,146.0
163,504,Myrskylä,0203282-3,FI02032823,kunta,"suomi, ruotsi",Myrskylän kirkonkylä,Uusimaa,Porvoon seutukunta,1805,20635.0,20044.0,9.0
164,505,Mäntsälä,0129261-5,FI01292615,kunta,suomi,Mäntsälän kirkonkylä,Uusimaa,Helsingin seutukunta,21036,59611.0,58085.0,362.0
165,508,Mänttä-Vilppula,0157867-2,FI01578672,kaupunki,suomi,Mäntän keskustaajama,Pirkanmaa,Ylä-Pirkanmaan seutukunta,9490,65709.0,53484.0,177.0
166,507,Mäntyharju,0165761-0,FI01657610,kunta,suomi,Mäntyharjun asemanseutu,Etelä-Savo,Mikkelin seutukunta,5625,1210.98,98121.0,57.0
167,529,Naantali,0135457-2,FI01354572,kaupunki,suomi,Naantalin keskustaajama,Varsinais-Suomi,Turun seutukunta,19613,31643.0,31257.0,627.0
168,531,Nakkila,0135662-3,FI01356623,kunta,suomi,Nakkilan kirkonkylä,Satakunta,Porin seutukunta,5138,18488.0,18293.0,281.0
169,535,Nivala,0186757-0,FI01867570,kaupunki,suomi,Nivalan keskustaajama,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,10423,53624.0,52718.0,198.0
170,536,Nokia,0205717-4,FI02057174,kaupunki,suomi,Nokian keskustaajama,Pirkanmaa,Tampereen seutukunta,35176,34784.0,28831.0,122.0
171,538,Nousiainen,0135821-5,FI01358215,kunta,suomi,Nummi,Varsinais-Suomi,Turun seutukunta,4679,19949.0,19893.0,235.0
172,541,Nurmes,0207669-0,FI02076690,kaupunki,suomi,Nurmeksen keskustaajama,Pohjois-Karjala,Pielisen Karjalan seutukunta,9640,2692.85,2401.36,39.0
173,543,Nurmijärvi,9014643-2,FI90146432,kunta,suomi,Nurmijärven kirkonkylä,Uusimaa,Helsingin seutukunta,44358,36726.0,36190.0,1226.0
174,545,Närpiö,0181367-9,FI01813679,kaupunki,"ruotsi, suomi",Närpiön keskustaajama,Pohjanmaa,Suupohjan rannikkoseutu,9597,98548.0,97782.0,98.0
175,560,Orimattila,0129920-0,FI01299200,kaupunki,suomi,Orimattilan keskustaajama,Päijät-Häme,Lahden seutukunta,15774,81401.0,78526.0,201.0
176,561,Oripää,0135869-6,FI01358696,kunta,suomi,Oripään kirkonkylä,Varsinais-Suomi,Loimaan seutukunta,1341,11783.0,11775.0,114.0
177,562,Orivesi,0151789-6,FI01517896,kaupunki,suomi,Oriveden keskustaajama,Pirkanmaa,Tampereen seutukunta,8980,96008.0,79963.0,112.0
178,563,Oulainen,0186852-2,FI01868522,kaupunki,suomi,Oulaisten keskustaajama,Pohjois-Pohjanmaa,Ylivieskan seutukunta,7079,59754.0,58784.0,12.0
179,564,Oulu,0187690-1,FI01876901,kaupunki,suomi,Oulun keskustaajama,Pohjois-Pohjanmaa,Oulun seutukunta,209934,3052.77,2972.45,706.0
180,309,Outokumpu,0207604-1,FI02076041,kaupunki,suomi,Outokummun keskustaajama,Pohjois-Karjala,Joensuun seutukunta,6525,58406.0,44586.0,146.0
181,576,Padasjoki,0151924-2,FI01519242,kunta,suomi,Padasjoen kirkonkylä,Päijät-Häme,Lahden seutukunta,2784,72981.0,52309.0,53.0
182,577,Paimio,0136169-2,FI01361692,kaupunki,suomi,Vista,Varsinais-Suomi,Turun seutukunta,11127,24004.0,23851.0,467.0
183,578,Paltamo,0188808-0,FI01888080,kunta,suomi,Paltamon kirkonkylä,Kainuu,Kajaanin seutukunta,3139,1139.74,91879.0,34.0
184,445,Parainen,9038213-6,FI90382136,kaupunki,"ruotsi, suomi",Paraisten keskustaajama,Varsinais-Suomi,Turunmaan seutukunta,15096,89390.0,88404.0,171.0
185,580,Parikkala,1913642-6,FI19136426,kunta,suomi,Parikkalan kirkonkylä,Etelä-Karjala,Imatran seutukunta,4541,76071.0,59191.0,77.0
186,581,Parkano,0136311-0,FI01363110,kaupunki,suomi,Parkanon keskustaajama,Pirkanmaa,Luoteis-Pirkanmaan seutukunta,6274,90957.0,85319.0,74.0
187,599,Pedersören kunta,0198517-1,FI01985171,kunta,"ruotsi, suomi",Pännäinen,Pohjanmaa,Jakobstadsregionen,11167,82605.0,79426.0,141.0
188,583,Pelkosenniemi,0191866-5,FI01918665,kunta,suomi,Pelkosenniemen kirkonkylä,Lappi,Itä-Lapin seutukunta,931,1881.82,1836.4,5.0
189,854,Pello,0193729-2,FI01937292,kunta,suomi,Pellon kirkonkylä,Lappi,Torniolaakson seutukunta,3265,1863.72,1737.73,19.0
190,584,Perho,0181464-7,FI01814647,kunta,suomi,Perhon kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,2676,77519.0,74787.0,36.0
191,588,Pertunmaa,0165867-2,FI01658672,kunta,suomi,Pertunmaan kirkonkylä,Etelä-Savo,Mikkelin seutukunta,1624,45418.0,37443.0,43.0
192,592,Petäjävesi,0176769-2,FI01767692,kunta,suomi,Petäjäveden kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,3676,49541.0,45642.0,81.0
193,593,Pieksämäki,2048903-4,FI20489034,kaupunki,suomi,Pieksämäen keskustaajama,Etelä-Savo,Pieksämäen seutukunta,17216,1836.24,1569.03,11.0
194,595,Pielavesi,0172446-5,FI01724465,kunta,suomi,Pielaveden kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta,4214,1406.51,1153.23,37.0
195,598,Pietarsaari,0172446-5,FI01724465,kaupunki,"ruotsi, suomi",Pietarsaaren keskustaajama,Pohjanmaa,Jakobstadsregionen,19183,9188.0,8845.0,2169.0
196,601,Pihtipudas,0243027-4,FI02430274,kunta,suomi,Pihtiputaan kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,3856,1247.5,1074.92,36.0
197,604,Pirkkala,0152084-1,FI01520841,kunta,suomi,Naistenmatka,Pirkanmaa,Tampereen seutukunta,20281,10397.0,8142.0,2491.0
198,607,Polvijärvi,0169823-6,FI01698236,kunta,suomi,Polvijärven kirkonkylä,Pohjois-Karjala,Joensuun seutukunta,4137,95833.0,80491.0,51.0
199,608,Pomarkku,0136610-0,FI01366100,kunta,suomi,Pomarkun kirkonkylä,Satakunta,Porin seutukunta,1997,33205.0,30119.0,66.0
200,609,Pori,0137323-9,FI01373239,kaupunki,suomi,Porin keskustaajama,Satakunta,Porin seutukunta,83297,1217.99,1156.16,72.0
201,611,Pornainen,0130095-3,FI01300953,kunta,suomi,Pornaisten kirkonkylä,Uusimaa,Helsingin seutukunta,5026,15009.0,14653.0,343.0
202,638,Porvoo,0130095-3,FI10615121,kaupunki,"suomi, ruotsi",Porvoon keskustaajama,Uusimaa,Porvoon seutukunta,51332,66472.0,65456.0,784.0
203,614,Posio,0191908-6,FI01919086,kunta,suomi,Ahola,Lappi,Itä-Lapin seutukunta,3035,3544.65,3039.73,1.0
204,615,Pudasjärvi,0188962-2,FI01889622,kaupunki,suomi,Kurenalus,Pohjois-Pohjanmaa,Oulunkaaren seutukunta,7670,5867.36,5638.35,14.0
205,616,Pukkila,0130729-0,FI01307290,kunta,suomi,Pukkilan kirkonkylä,Uusimaa,Porvoon seutukunta,1835,14594.0,14509.0,126.0
206,619,Punkalaidun,0138037-5,FI01380375,kunta,suomi,Punkalaitumen kirkonkylä,Pirkanmaa,Lounais-Pirkanmaan seutukunta,2707,36405.0,36110.0,75.0
207,620,Puolanka,0189081-8,FI01890818,kunta,suomi,Puolangan kirkonkylä,Kainuu,Kehys-Kainuun seutukunta,2405,2598.71,2461.21,1.0
208,623,Puumala,0166400-1,FI01664001,kunta,suomi,Puumalan kirkonkylä,Etelä-Savo,Mikkelin seutukunta,2121,1237.75,79411.0,27.0
209,624,Pyhtää,0162798-0,FI01627980,kunta,"suomi, ruotsi",Siltakylä,Kymenlaakso,Kotka–Haminan seutukunta,5128,33640.0,32463.0,158.0
210,625,Pyhäjoki,0189127-1,FI01891271,kunta,suomi,Pyhäjoen kirkonkylä,Pohjois-Pohjanmaa,Raahen seutukunta,3028,54921.0,54321.0,56.0
211,626,Pyhäjärvi,0210261-7,FI02102617,kaupunki,suomi,Pyhäsalmi,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,4918,1459.0,1310.31,38.0
212,630,Pyhäntä,0189226-6,FI01892266,kunta,suomi,Pyhännän kirkonkylä,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta,1659,84675.0,81020.0,2.0
213,631,Pyhäranta,0204403-1,FI02044031,kunta,suomi,Rohdainen,Varsinais-Suomi,Vakka-Suomen seutukunta,1972,14838.0,14351.0,137.0
214,635,Pälkäne,2050961-3,FI20509613,kunta,suomi,Onkkaala,Pirkanmaa,Tampereen seutukunta,6428,73812.0,56072.0,115.0
215,636,Pöytyä,1929519-5,FI19295195,kunta,suomi,Kyrö ja Riihikoski,Varsinais-Suomi,Loimaan seutukunta,8218,77355.0,74995.0,11.0
216,678,Raahe,1791817-6,FI17918176,kaupunki,suomi,Raahen keskustaajama,Pohjois-Pohjanmaa,Raahen seutukunta,24286,1028.22,1015.33,239.0
217,710,Raasepori,0131297-0,FI01312970,kaupunki,"ruotsi, suomi",Tammisaaren keskustaajama,Uusimaa,Raaseporin seutukunta,27445,1215.45,1148.34,239.0
218,680,Raisio,0204428-5,FI02044285,kaupunki,suomi,Raision keskustaajama,Varsinais-Suomi,Turun seutukunta,25025,4934.0,4876.0,5132.0
219,681,Rantasalmi,0166507-1,FI01665071,kunta,suomi,Rantasalmen kirkonkylä,Etelä-Savo,Savonlinnan seutukunta,3341,92518.0,55931.0,6.0
220,683,Ranua,0191974-8,FI01919748,kunta,suomi,Ranuan kirkonkylä,Lappi,Rovaniemen seutukunta,3653,3694.79,3453.39,11.0
221,684,Rauma,0138780-9,FI01387809,kaupunki,suomi,Rauman keskustaajama,Satakunta,Rauman seutukunta,38838,51010.0,49635.0,782.0
222,686,Rautalampi,0172586-3,FI01725863,kunta,suomi,Rautalammin kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta,3007,76199.0,53896.0,56.0
223,687,Rautavaara,0172646-0,FI01726460,kunta,suomi,Rautavaaran kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta,1495,1235.25,1150.64,13.0
224,689,Rautjärvi,0206951-1,FI02069511,kunta,suomi,Simpele,Etelä-Karjala,Imatran seutukunta,3100,40190.0,35147.0,88.0
225,691,Reisjärvi,0189548-3,FI01895483,kunta,suomi,Reisjärven kirkonkylä,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,2677,50332.0,47462.0,56.0
226,694,Riihimäki,0152563-4,FI01525634,kaupunki,suomi,Riihimäen keskustaajama,Kanta-Häme,Riihimäen seutukunta,28515,12555.0,12101.0,2356.0
227,697,Ristijärvi,0189576-6,FI01895766,kunta,suomi,Ristijärven kirkonkylä,Kainuu,Kajaanin seutukunta,1197,89794.0,83580.0,14.0
228,698,Rovaniemi,1978283-1,FI19782831,kaupunki,suomi,Rovaniemen keskustaajama,Lappi,Rovaniemen seutukunta,64022,8016.62,7581.37,84.0
229,700,Ruokolahti,0163013-5,FI01630135,kunta,suomi,Rasila,Etelä-Karjala,Imatran seutukunta,4883,1219.85,94210.0,52.0
230,702,Ruovesi,0152842-1,FI01528421,kunta,suomi,Ruoveden kirkonkylä,Pirkanmaa,Ylä-Pirkanmaan seutukunta,4152,95017.0,77699.0,53.0
231,704,Rusko,0204524-5,FI02045245,kunta,suomi,Ruskon kirkonkylä,Varsinais-Suomi,Turun seutukunta,6427,12790.0,12716.0,505.0
232,707,Rääkkylä,0169967-7,FI01699677,kunta,suomi,Rääkkylän kirkonkylä,Pohjois-Karjala,Keski-Karjalan seutukunta,2003,69968.0,42778.0,47.0
233,729,Saarijärvi,0176975-1,FI01769751,kaupunki,suomi,Saarijärven keskustaajama,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,9100,1422.72,1251.72,73.0
234,732,Salla,0192936-4,FI01929364,kunta,suomi,Sallan kirkonkylä,Lappi,Itä-Lapin seutukunta,3357,5872.41,5729.83,6.0
235,734,Salo,0139991-4,FI01399914,kaupunki,suomi,Salon keskustaajama,Varsinais-Suomi,Salon seutukunta,51339,2061.84,1987.47,258.0
236,736,Saltvik,0205119-4,FI02051194,kunta,ruotsi,Nääs,Ahvenanmaa,Ålands landsbygd,1818,15962.0,15225.0,119.0
237,790,Sastamala,0144411-3,FI01444113,kaupunki,suomi,Vammalan keskustaajama,Pirkanmaa,Lounais-Pirkanmaan seutukunta,23901,1531.74,1429.15,167.0
238,738,Sauvo,9038213-6,FI90382136,kunta,suomi,Sauvon kirkonkylä,Varsinais-Suomi,Turun seutukunta,2949,25397.0,25274.0,117.0
239,739,Savitaipale,0163109-0,FI01631090,kunta,suomi,Savitaipaleen kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta,3247,69056.0,53912.0,6.0
240,740,Savonlinna,0166906-4,FI01669064,kaupunki,suomi,Savonlinnan keskustaajama,Etelä-Savo,Savonlinnan seutukunta,32349,3597.69,2238.11,145.0
241,742,Savukoski,0210704-7,FI02107047,kunta,suomi,Savukosken kirkonkylä,Lappi,Itä-Lapin seutukunta,1003,6496.57,6440.01,16.0
242,743,Seinäjoki,0210704-7,FI02107047,kaupunki,suomi,Seinäjoen keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta,64827,1469.22,1431.77,453.0
243,746,Sievi,0189615-2,FI01896152,kunta,suomi,Sievin kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta,4801,79988.0,78640.0,61.0
244,747,Siikainen,0139842-8,FI01398428,kunta,suomi,Siikaisten kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta,1338,49131.0,46330.0,29.0
245,748,Siikajoki,2047359-3,FI20473593,kunta,suomi,Ruukki,Pohjois-Pohjanmaa,Raahen seutukunta,4984,1062.61,1053.89,47.0
246,791,Siikalatva,0189019-9,FI01890199,kunta,suomi,Pulkkilan kirkonkylä,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta,5093,2229.88,2173.27,23.0
247,749,Siilinjärvi,0172718-0,FI01727180,kunta,suomi,Siilinjärven kirkonkylä,Pohjois-Savo,Kuopion seutukunta,21363,50781.0,40097.0,533.0
248,751,Simo,0193015-4,FI01930154,kunta,suomi,Simon asemanseutu,Lappi,Kemi–Tornion seutukunta,2903,1466.55,1446.59,2.0
249,753,Sipoo,0193015-4,FI01930154,kunta,"suomi, ruotsi",Nikkilä,Uusimaa,Helsingin seutukunta,22269,34267.0,33967.0,656.0
250,755,Siuntio,0131156-4,FI01311564,kunta,"suomi, ruotsi",Siuntion asemanseutu,Uusimaa,Helsingin seutukunta,6237,24995.0,24111.0,259.0
251,758,Sodankylä,0193169-1,FI01931691,kunta,"suomi, pohjoissaame",Sodankylän kirkonkylä,Lappi,Pohjois-Lapin seutukunta,8178,12415.32,11692.96,7.0
252,759,Soini,0182637-3,FI01826373,kunta,suomi,Soinin kirkonkylä,Etelä-Pohjanmaa,Kuusiokuntien seutukunta,1962,57422.0,55195.0,36.0
253,761,Somero,0153082-0,FI01530820,kaupunki,suomi,Someron keskustaajama,Varsinais-Suomi,Salon seutukunta,8541,69768.0,66798.0,128.0
254,762,Sonkajärvi,9090160-2,FI90901602,kunta,suomi,Sonkajärven kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta,3768,1576.79,1465.93,26.0
255,765,Sotkamo,0189766-5,FI01897665,kunta,suomi,Sotkamon kirkonkylä,Kainuu,Kajaanin seutukunta,10344,2951.84,2648.97,39.0
256,766,Sottunga,0205121-5,FI02051215,kunta,ruotsi,Sottunga,Ahvenanmaa,Ålands skärgård,113,2806.0,2804.0,4.0
257,768,Sulkava,0167265-0,FI01672650,kunta,suomi,Sulkavan kirkonkylä,Etelä-Savo,Savonlinnan seutukunta,2412,76920.0,58447.0,41.0
258,771,Sund,0205125-8,FI02051258,kunta,ruotsi,Björby,Ahvenanmaa,Ålands landsbygd,1022,11249.0,10820.0,94.0
259,777,Suomussalmi,0189925-7,FI01899257,kunta,suomi,Ämmänsaari,Kainuu,Kehys-Kainuun seutukunta,7459,5857.59,5270.43,14.0
260,778,Suonenjoki,0208061-4,FI02080614,kaupunki,suomi,Suonenjoen keskustaajama,Pohjois-Savo,Sisä-Savon seutukunta,6857,86234.0,71356.0,96.0
261,781,Sysmä,0167352-2,FI01673522,kunta,suomi,Sysmän kirkonkylä,Päijät-Häme,Lahden seutukunta,3535,93607.0,66622.0,53.0
262,783,Säkylä,0139937-5,FI01399375,kunta,suomi,Säkylän kirkonkylä,Satakunta,Rauman seutukunta,6556,52781.0,40685.0,161.0
263,831,Taipalsaari,0163320-5,FI01633205,kunta,suomi,Taipalsaaren kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta,4604,76195.0,34469.0,134.0
264,832,Taivalkoski,0190100-3,FI01901003,kunta,suomi,Taivalkosken kirkonkylä,Pohjois-Pohjanmaa,Koillismaan seutukunta,3875,2650.61,2438.21,16.0
265,833,Taivassalo,0139991-4,FI01399914,kunta,suomi,Taivassalon kirkonkylä,Varsinais-Suomi,Vakka-Suomen seutukunta,1687,14200.0,14033.0,12.0
266,834,Tammela,0153179-4,FI01531794,kunta,suomi,Tammelan kirkonkylä,Kanta-Häme,Forssan seutukunta,5937,71515.0,64061.0,93.0
267,837,Tampere,0211675-2,FI02116752,kaupunki,suomi,Tampereen keskustaajama,Pirkanmaa,Tampereen seutukunta,245027,68959.0,52489.0,4668.0
268,844,Tervo,0173081-4,FI01730814,kunta,suomi,Tervon kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta,1462,49430.0,34775.0,42.0
269,845,Tervola,0193249-1,FI01932491,kunta,suomi,Tervolan kirkonkylä,Lappi,Kemi–Tornion seutukunta,2858,1592.05,1559.71,18.0
270,846,Teuva,0182734-1,FI01827341,kunta,suomi,Teuvan kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta,4931,55605.0,55473.0,89.0
271,848,Tohmajärvi,1919717-3,FI19197173,kunta,suomi,Kemie,Pohjois-Karjala,Keski-Karjalan seutukunta,4213,89536.0,83775.0,5.0
272,849,Toholampi,0182779-8,FI01827798,kunta,suomi,Toholammin kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,2951,61705.0,60898.0,48.0
273,850,Toivakka,0177201-0,FI01772010,kunta,suomi,Toivakan kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,2416,41394.0,36146.0,67.0
274,851,Tornio,0193524-6,FI01935246,kaupunki,suomi,Tornion keskustaajama,Lappi,Kemi–Tornion seutukunta,21326,1227.86,1188.7,179.0
275,853,Turku,9038213-6,FI90382136,kaupunki,"suomi, ruotsi",Turun keskustaajama,Varsinais-Suomi,Turun seutukunta,195047,24910.0,24563.0,7941.0
276,857,Tuusniemi,0173128-6,FI01731286,kunta,suomi,Tuusniemen kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta,2411,69942.0,54318.0,44.0
277,858,Tuusula,0131661-3,FI01316613,kunta,suomi,Hyrylä,Uusimaa,Helsingin seutukunta,40118,22545.0,21953.0,1827.0
278,859,Tyrnävä,0190140-9,FI01901409,kunta,suomi,Tyrnävän kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,6602,49487.0,49182.0,134.0
279,886,Ulvila,0204910-7,FI02049107,kaupunki,suomi,Vanhakylä,Satakunta,Porin seutukunta,12659,42251.0,40082.0,316.0
280,887,Urjala,0157323-0,FI01573230,kunta,suomi,Urjalan kirkonkylä,Pirkanmaa,Etelä-Pirkanmaan seutukunta,4651,50541.0,47553.0,98.0
281,889,Utajärvi,0190224-1,FI01902241,kunta,suomi,Utajärven kirkonkylä,Pohjois-Pohjanmaa,Oulunkaaren seutukunta,2562,1735.02,1669.47,15.0
282,890,Utsjoki,9129466-4,FI91294664,kunta,"suomi, pohjoissaame",Utsjoen kirkonkylä,Lappi,Pohjois-Lapin seutukunta,1175,5372.0,5146.08,2.0
283,892,Uurainen,0177224-8,FI01772248,kunta,suomi,Uuraisten kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,3618,37225.0,34798.0,104.0
284,893,Uusikaarlepyy,0183077-8,FI01830778,kaupunki,"ruotsi, suomi",Uudenkaarlepyyn keskustaajama,Pohjanmaa,Jakobstadsregionen,7518,73721.0,73271.0,103.0
285,895,Uusikaupunki,0144036-6,FI01440366,kaupunki,suomi,Uudenkaupungin keskustaajama,Varsinais-Suomi,Vakka-Suomen seutukunta,15403,55153.0,50320.0,306.0
286,785,Vaala,0190027-0,FI01900270,kunta,suomi,Vaalan kirkonkylä,Pohjois-Pohjanmaa,Oulunkaaren seutukunta,2679,1763.57,1302.38,21.0
287,905,Vaasa,0190027-0,FI01900270,kaupunki,"suomi, ruotsi",Vaasan keskustaajama,Pohjanmaa,Vaasan seutukunta,67067,36954.0,36473.0,1839.0
288,908,Valkeakoski,0157568-2,FI01575682,kaupunki,suomi,Valkeakosken keskustaajama,Pirkanmaa,Etelä-Pirkanmaan seutukunta,20717,37203.0,27205.0,762.0
289,092,Vantaa,0124610-9,FI01246109,kaupunki,"suomi, ruotsi",Tikkurila,Uusimaa,Helsingin seutukunta,241061,24035.0,23838.0,1011.2
290,915,Varkaus,0173416-1,FI01734161,kaupunki,suomi,Varkauden keskustaajama,Pohjois-Savo,Varkauden seutukunta,19917,52448.0,38562.0,516.0
291,918,Vehmaa,0144561-8,FI01445618,kunta,suomi,Vinkkilä,Varsinais-Suomi,Vakka-Suomen seutukunta,2254,19206.0,18888.0,119.0
292,921,Vesanto,0173787-2,FI01737872,kunta,suomi,Vesannon kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta,1928,56981.0,42263.0,46.0
293,922,Vesilahti,0157711-9,FI01577119,kunta,suomi,Vesilahden kirkonkylä,Pirkanmaa,Tampereen seutukunta,4474,35393.0,30104.0,149.0
294,924,Veteli,0184278-7,FI01842787,kunta,suomi,Kainu,Keski-Pohjanmaa,Kaustisen seutukunta,2991,52091.0,50213.0,6.0
295,925,Vieremä,0173835-7,FI01738357,kunta,suomi,Vieremän kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta,3473,97338.0,92528.0,38.0
296,927,Vihti,0131905-6,FI01319056,kunta,suomi,Nummela,Uusimaa,Helsingin seutukunta,29162,56706.0,52201.0,559.0
297,931,Viitasaari,0208573-0,FI02085730,kaupunki,suomi,Viitasaaren keskustaajama,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,6042,1589.12,1248.54,48.0
298,934,Vimpeli,0184318-1,FI01843181,kunta,suomi,Vimpelin kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta,2752,32879.0,28732.0,96.0
299,935,Virolahti,0207033-6,FI02070336,kunta,suomi,Virojoki,Kymenlaakso,Kotka–Haminan seutukunta,3014,37624.0,37199.0,81.0
300,936,Virrat,0206333-9,FI02063339,kaupunki,suomi,Virtain keskustaajama,Pirkanmaa,Ylä-Pirkanmaan seutukunta,6445,1299.07,1162.68,55.0
301,941,Vårdö,0205126-6,FI02051266,kunta,ruotsi,Vårdö,Ahvenanmaa,Ålands skärgård,461,10210.0,10171.0,45.0
302,946,Vöyri,2050514-5,FI20505145,kunta,"ruotsi, suomi",Vöyrin kirkonkylä,Pohjanmaa,Vaasan seutukunta,6356,79133.0,78214.0,81.0
303,976,Ylitornio,0210826-9,FI02108269,kunta,suomi,Ylitornion kirkonkylä,Lappi,Torniolaakson seutukunta,3812,2212.77,2028.29,19.0
304,977,Ylivieska,0190557-3,FI01905573,kaupunki,suomi,Ylivieskan keskustaajama,Pohjois-Pohjanmaa,Ylivieskan seutukunta,15345,57420.0,56983.0,269.0
305,980,Ylöjärvi,0158221-7,FI01582217,kaupunki,suomi,Ylöjärven kirkonkylä,Pirkanmaa,Tampereen seutukunta,33730,1323.96,1115.75,302.0
306,981,Ypäjä,0158301-7,FI01583017,kunta,suomi,Ypäjän kirkonkylä,Kanta-Häme,Forssan seutukunta,2266,18325.0,18276.0,124.0
307,989,Ähtäri,0184622-7,FI01846227,kaupunki,suomi,Ähtärin keskustaajama,Etelä-Pohjanmaa,Kuusiokuntien seutukunta,5463,91087.0,80582.0,68.0
308,992,Äänekoski,2045520-5,FI20455205,kaupunki,suomi,Äänekosken keskustaajama,Keski-Suomi,Äänekosken seutukunta,18249,1138.38,88462.0,206.0
